ta_location_id,hotel_name,amenity
301411,Mandarin Oriental Bangkok,Gift Shop
301411,Mandarin Oriental Bangkok,Head Massage
301411,Mandarin Oriental Bangkok,Interconnected room(s) available
301411,Mandarin Oriental Bangkok,Ironing Service
301411,Mandarin Oriental Bangkok,Japanese
301411,Mandarin Oriental Bangkok,Massage
301411,Mandarin Oriental Bangkok,Newspaper
301411,Mandarin Oriental Bangkok,On-Demand Movies
301411,Mandarin Oriental Bangkok,Pool / Beach Towels
301411,Mandarin Oriental Bangkok,Paid Private Parking On-site
301411,Mandarin Oriental Bangkok,Salon
301411,Mandarin Oriental Bangkok,24-Hour Security
301411,Mandarin Oriental Bangkok,Shoeshine
301411,Mandarin Oriental Bangkok,Shops
301411,Mandarin Oriental Bangkok,Steam Room
301411,Mandarin Oriental Bangkok,Taxi Service
301411,Mandarin Oriental Bangkok,Thai
301411,Mandarin Oriental Bangkok,Valet Parking
301411,Mandarin Oriental Bangkok,VIP Room Facilities
301411,Mandarin Oriental Bangkok,Wine / Champagne
302457,Burj Al Arab,Pool
302457,Burj Al Arab,Internet
302457,Burj Al Arab,Beachfront
302457,Burj Al Arab,Free Internet
302457,Burj Al Arab,Free Wifi
302457,Burj Al Arab,Suites
302457,Burj Al Arab,Free parking
302457,Burj Al Arab,Kids Activities
302457,Burj Al Arab,Room service
302457,Burj Al Arab,Wheelchair access
302457,Burj Al Arab,Restaurant
302457,Burj Al Arab,Bar/Lounge
302457,Burj Al Arab,Spa
302457,Burj Al Arab,Airport transportation
302457,Burj Al Arab,Wifi
302457,Burj Al Arab,Dry Cleaning
302457,Burj Al Arab,Meeting rooms
302457,Burj Al Arab,Hot Tub
302457,Burj Al Arab,Non-smoking rooms
302457,Burj Al Arab,Business center
302457,Burj Al Arab,Fitness center
302457,Burj Al Arab,Laundry Service
302457,Burj Al Arab,Concierge
302457,Burj Al Arab,Banquet Room
302457,Burj Al Arab,Air conditioning
302457,Burj Al Arab,Family Rooms
302457,Burj Al Arab,Multilingual Staff
302457,Burj Al Arab,Accessible rooms
302457,Burj Al Arab,Refrigerator in room
302457,Burj Al Arab,Minibar
302457,Burj Al Arab,Conference Facilities
302457,Burj Al Arab,Babysitting
302457,Burj Al Arab,Safe
302457,Burj Al Arab,Rooftop Bar
302457,Burj Al Arab,Swimup Bar
302457,Burj Al Arab,Heated pool
302457,Burj Al Arab,Flatscreen TV
302457,Burj Al Arab,Water Park
302457,Burj Al Arab,Breakfast Buffet
302457,Burj Al Arab,Poolside Bar
302457,Burj Al Arab,Indoor pool
302457,Burj Al Arab,Butler Service
302457,Burj Al Arab,Adult pool
302457,Burj Al Arab,Outdoor pool
302457,Burj Al Arab,Private Beaches
302457,Burj Al Arab,Breakfast Available
302457,Burj Al Arab,Parking
302457,Burj Al Arab,Free Shuttle or Taxi Services
302457,Burj Al Arab,Facilities for Disabled Guests
302457,Burj Al Arab,Housekeeping
302457,Burj Al Arab,Sauna
302457,Burj Al Arab,Additional Bathroom
302457,Burj Al Arab,Allergy-free Room
302457,Burj Al Arab,Arabic
302457,Burj Al Arab,ATM On Site
302457,Burj Al Arab,Baggage Storage
302457,Burj Al Arab,Bath / Shower
302457,Burj Al Arab,Bathrobes
302457,Burj Al Arab,Bottled Water
302457,Burj Al Arab,Breakfast in the Room
302457,Burj Al Arab,Car Hire
302457,Burj Al Arab,Chinese
302457,Burj Al Arab,Coffee / Tea Maker
302457,Burj Al Arab,Couples Massage
302457,Burj Al Arab,Currency Exchange
302457,Burj Al Arab,Desk
302457,Burj Al Arab,Doorperson
302457,Burj Al Arab,English
302457,Burj Al Arab,Evening Entertainment
302457,Burj Al Arab,Facial Treatments
302457,Burj Al Arab,Filipino
302457,Burj Al Arab,Fitness Classes
302457,Burj Al Arab,Fitness / Spa Locker Rooms
302457,Burj Al Arab,Complimentary Toiletries
302457,Burj Al Arab,French
